ts,equity,daily_pnl
1783961755,799.76,0.15
1783961771,799.76,0.15
1783961786,799.76,0.15
1783961803,799.76,0.15
1783961818,799.76,0.15
1783961834,799.76,0.15
1783961849,799.76,0.15
1783961865,799.76,0.15
1783961880,799.76,0.15
1783961897,799.76,0.15
1783961912,799.76,0.15
1783961928,799.76,0.15
1783961943,799.76,0.15
1783961959,799.76,0.15
1783961974,799.76,0.15
1783961991,799.76,0.15
1783962006,799.76,0.15
1783962023,799.76,0.15
1783962038,799.76,0.15
1783962055,799.76,0.15
1783962070,799.77,0.15
1783962086,799.77,0.15
1783962101,799.77,0.15
1783962117,799.77,0.15
1783962132,799.77,0.15
1783962148,799.77,0.15
1783962163,799.77,0.15
1783962180,799.77,0.15
1783962195,799.77,0.15
1783962211,799.77,0.15
1783962226,799.77,0.15
1783962242,799.77,0.15
1783962257,799.77,0.15
1783962274,799.77,0.15
1783962289,799.76,0.15
1783962305,799.76,0.15
1783962320,799.76,0.15
1783962336,799.76,0.15
1783962351,799.76,0.15
1783962367,799.76,0.15
1783962382,799.76,0.15
1783962398,799.77,0.15
1783962413,799.77,0.15
1783962429,799.77,0.15
1783962444,799.77,0.15
1783962460,799.77,0.15
1783962475,799.78,0.15
1783962492,799.77,0.15
1783962507,799.77,0.15
1783962523,799.77,0.15
1783962538,799.77,0.15
1783962554,799.77,0.15
1783962569,799.77,0.15
1783962585,799.77,0.15
1783962600,799.77,0.15
1783962617,799.77,0.15
1783962632,799.78,0.15
1783962649,799.78,0.15
1783962664,799.77,0.15
1783962680,799.77,0.15
1783962695,799.77,0.15
1783962712,799.77,0.15
1783962727,799.77,0.15
1783962743,799.77,0.15
1783962758,799.77,0.15
1783962774,799.77,0.15
1783962789,799.77,0.15
1783962805,799.77,0.15
1783962820,799.77,0.15
1783962837,799.77,0.15
1783962852,799.77,0.15
1783962868,799.77,0.15
1783962883,799.77,0.15
1783962910,799.77,0.15
1783962925,799.77,0.15
1783962941,799.77,0.15
1783962956,799.77,0.15
1783962972,799.76,0.15
1783962987,799.76,0.15
1783963003,799.76,0.15
1783963018,799.76,0.15
1783963035,799.76,0.15
1783963050,799.76,0.15
1783963066,799.76,0.15
1783963081,799.76,0.15
1783963097,799.76,0.15
1783963112,799.76,0.15
1783963129,799.76,0.15
1783963144,799.76,0.15
1783963160,799.76,0.15
1783963175,799.76,0.15
1783963191,799.76,0.15
1783963206,799.76,0.15
1783963222,799.76,0.15
1783963237,799.76,0.15
1783963255,799.76,0.15
1783963270,799.76,0.15
1783963286,799.76,0.15
1783963301,799.76,0.15
1783963317,799.76,0.15
1783963332,799.76,0.15
1783963348,799.76,0.15
1783963363,799.76,0.15
1783963379,799.76,0.15
1783963394,799.76,0.15
1783963411,799.76,0.15
1783963426,799.76,0.15
1783963442,799.76,0.15
1783963457,799.75,0.15
1783963473,799.75,0.15
1783963488,799.75,0.15
1783963504,799.75,0.15
1783963519,799.75,0.15
1783963535,799.75,0.15
1783963550,799.75,0.15
1783963566,799.75,0.15
1783963581,799.75,0.15
1783963598,799.75,0.15
1783963613,799.75,0.15
1783963629,799.75,0.15
1783963644,799.75,0.15
1783963660,799.75,0.15
1783963675,799.75,0.15
1783963692,799.75,0.15
1783963707,799.75,0.15
1783963723,799.75,0.15
1783963738,799.75,0.15
1783963754,799.75,0.15
1783963769,799.75,0.15
1783963785,799.75,0.15
1783963800,799.75,0.15
1783963828,799.75,0.15
1783963843,799.75,0.15
1783963860,799.75,0.15
1783963875,799.75,0.15
1783963892,799.75,0.15
1783963907,799.75,0.15
1783963923,799.75,0.15
1783963938,799.75,0.15
1783963954,799.74,0.15
1783963969,799.74,0.15
1783963985,799.74,0.15
1783964000,799.74,0.15
1783964016,799.74,0.15
1783964031,799.74,0.15
1783964047,799.74,0.15
1783964062,799.75,0.15
1783964079,799.75,0.15
1783964094,799.75,0.15
1783964110,799.74,0.15
1783964125,799.74,0.15
1783964141,799.74,0.15
1783964156,799.74,0.15
1783964172,799.74,0.15
1783964187,799.74,0.15
1783964204,799.74,0.15
1783964219,799.72,0.15
1783964235,799.72,0.15
1783964250,799.72,0.15
1783964266,799.73,0.15
1783964281,799.73,0.15
1783964297,799.73,0.15
1783964312,799.72,0.15
1783964328,799.72,0.15
1783964343,799.72,0.15
1783964359,799.73,0.15
1783964374,799.73,0.15
1783964391,799.73,0.15
1783964406,799.73,0.15
1783964422,799.72,0.15
1783964437,799.72,0.15
1783964453,799.72,0.15
1783964468,799.72,0.15
1783964485,799.73,0.15
1783964500,799.73,0.15
1783964516,799.73,0.15
1783964531,799.73,0.15
1783964547,799.73,0.15
1783964562,799.73,0.15
1783964579,799.73,0.15
1783964594,799.72,0.15
1783964610,799.72,0.15
1783964625,799.73,0.15
1783964641,799.73,0.15
1783964656,799.73,0.15
1783964673,799.73,0.15
1783964688,799.73,0.15
1783964704,799.73,0.15
1783964719,799.74,0.15
1783964745,799.74,0.15
1783964760,799.74,0.15
1783964776,799.74,0.15
1783964791,799.74,0.15
1783964807,799.74,0.15
1783964822,799.73,0.15
1783964838,799.73,0.15
1783964853,799.73,0.15
1783964870,799.73,0.15
1783964885,799.73,0.15
1783964901,799.73,0.15
1783964916,799.73,0.15
1783964932,799.73,0.15
1783964947,799.73,0.15
1783964963,799.73,0.15
1783964978,799.73,0.15
1783964994,799.72,0.15
1783965009,799.72,0.15
1783965025,799.72,0.15
1783965040,799.72,0.15
1783965056,799.72,0.15
1783965071,799.72,0.15
1783965088,799.72,0.15
1783965103,799.72,0.15
1783965120,799.71,0.15
1783965135,799.71,0.15
1783965151,799.72,0.15
1783965166,799.72,0.15
1783965182,799.72,0.15
1783965197,799.72,0.15
1783965213,799.72,0.15
1783965229,799.72,0.15
1783965244,799.72,0.15
1783965261,799.72,0.15
1783965276,799.72,0.15
1783965292,799.72,0.15
1783965307,799.72,0.15
1783965323,799.72,0.15
1783965338,799.72,0.15
1783965355,799.72,0.15
1783965370,799.72,0.15
1783965386,799.72,0.15
1783965401,799.72,0.15
1783965417,799.72,0.15
1783965432,799.72,0.15
1783965448,799.72,0.15
1783965463,799.72,0.15
1783965479,799.70,0.16
1783965494,799.66,0.20
1783965510,799.67,0.20
1783965525,799.67,0.20
1783965541,799.63,0.20
1783965556,799.57,-0.13
1783965573,799.56,-0.13
1783965588,799.57,-0.13
1783965604,799.57,-0.13
1783965619,799.57,-0.13
1783965635,799.57,-0.13
1783965650,799.58,-0.13
1783965666,799.58,-0.13
1783965681,799.59,-0.13
1783965699,799.59,-0.13
1783965714,799.58,-0.13
1783965730,799.58,-0.13
1783965745,799.59,-0.13
1783965761,799.59,-0.13
1783965776,799.58,-0.13
1783965792,799.57,-0.13
1783965807,799.57,-0.13
1783965823,799.58,-0.13
1783965838,799.57,-0.13
1783965855,799.58,-0.13
1783965870,799.57,-0.13
1783965886,799.57,-0.13
1783965901,799.58,-0.13
1783965917,799.58,-0.13
1783965932,799.57,-0.13
1783965948,799.58,-0.13
1783965963,799.58,-0.13
1783965979,799.58,-0.13
1783965994,799.58,-0.13
1783966010,799.58,-0.13
1783966025,799.58,-0.13
1783966041,799.58,-0.13
1783966056,799.58,-0.13
1783966072,799.58,-0.13
1783966087,799.58,-0.13
1783966104,799.58,-0.13
1783966119,799.58,-0.13
1783966135,799.58,-0.13
1783966150,799.58,-0.13
1783966166,799.58,-0.13
1783966181,799.58,-0.13
1783966197,799.58,-0.13
1783966212,799.57,-0.13
1783966228,799.57,-0.13
1783966243,799.57,-0.13
1783966259,799.57,-0.13
1783966274,799.57,-0.13
1783966290,799.57,-0.13
1783966305,799.57,-0.13
1783966322,799.57,-0.13
1783966337,799.57,-0.13
1783966354,799.56,-0.13
1783966369,799.56,-0.13
1783966385,799.56,-0.13
1783966400,799.57,-0.13
1783966416,799.57,-0.13
1783966431,799.57,-0.13
1783966447,799.59,-0.13
1783966462,799.59,-0.13
1783966478,799.58,-0.13
1783966493,799.58,-0.13
1783966509,799.59,-0.13
1783966524,799.58,-0.13
1783966540,799.58,-0.13
1783966555,799.58,-0.13
1783966581,799.58,-0.13
1783966596,799.59,-0.13
1783966612,799.59,-0.13
1783966627,799.59,-0.13
1783966643,799.59,-0.13
1783966658,799.59,-0.13
1783966674,799.60,-0.13
1783966689,799.59,-0.13
1783966705,799.59,-0.13
1783966720,799.59,-0.13
1783966736,799.60,-0.13
1783966751,799.58,-0.13
1783966767,799.59,-0.13
1783966782,799.57,-0.13
1783966799,799.52,-0.44
1783966814,799.52,-0.44
1783966830,799.52,-0.44
1783966845,799.46,-0.42
1783966861,799.44,-0.42
1783966876,799.43,-0.42
1783966892,799.43,-0.42
1783966907,799.43,-0.42
1783966924,799.43,-0.42
1783966939,799.43,-0.42
1783966955,799.43,-0.42
1783966970,799.43,-0.42
1783966986,799.43,-0.42
1783967001,799.43,-0.42
1783967017,799.43,-0.42
1783967032,799.42,-0.42
1783967048,799.40,-0.42
1783967063,799.40,-0.42
1783967080,799.39,-0.42
1783967095,799.39,-0.42
1783967111,799.39,-0.42
1783967126,799.39,-0.42
1783967142,799.40,-0.42
1783967157,799.39,-0.42
1783967173,799.39,-0.42
1783967188,799.40,-0.42
1783967204,799.39,-0.42
1783967219,799.39,-0.42
1783967237,799.39,-0.42
1783967252,799.39,-0.42
1783967269,799.39,-0.42
1783967284,799.39,-0.42
1783967301,799.39,-0.42
1783967316,799.39,-0.42
1783967334,799.39,-0.42
1783967349,799.39,-0.42
1783967366,799.39,-0.42
1783967381,799.39,-0.42
1783967398,799.39,-0.42
1783967413,799.39,-0.42
1783967431,799.39,-0.42
1783967446,799.39,-0.42
1783967463,799.39,-0.42
1783967478,799.39,-0.42
1783967495,799.39,-0.42
1783967510,799.39,-0.42
1783967528,799.39,-0.42
1783967543,799.39,-0.42
1783967560,799.39,-0.42
1783967575,799.39,-0.42
1783967592,799.39,-0.42
1783967607,799.39,-0.42
1783967625,799.39,-0.42
1783967640,799.39,-0.42
1783967657,799.39,-0.42
1783967672,799.39,-0.42
1783967689,799.39,-0.42
1783967704,799.39,-0.42
1783967722,799.39,-0.42
1783967737,799.39,-0.42
1783967754,799.39,-0.42
1783967769,799.39,-0.42
1783967786,799.39,-0.42
1783967801,799.39,-0.42
1783967819,799.39,-0.42
1783967834,799.39,-0.42
1783967861,799.38,-0.42
1783967889,799.38,-0.42
1783967904,799.38,-0.42
1783967920,799.38,-0.42
1783967935,799.38,-0.42
1783967951,799.38,-0.42
1783967966,799.38,-0.42
1783967983,799.38,-0.42
1783967998,799.38,-0.42
1783968014,799.37,-0.42
1783968029,799.38,-0.42
1783968045,799.37,-0.42
1783968060,799.37,-0.42
1783968076,799.37,-0.42
1783968091,799.38,-0.42
1783968107,799.38,-0.42
1783968122,799.37,-0.42
1783968138,799.37,-0.42
1783968153,799.37,-0.42
1783968169,799.38,-0.42
1783968184,799.38,-0.42
1783968200,799.37,-0.42
1783968215,799.35,-0.42
1783968231,799.36,-0.42
1783968246,799.37,-0.42
1783968262,799.36,-0.42
1783968277,799.37,-0.42
1783968294,799.37,-0.42
1783968309,799.37,-0.42
1783968325,799.37,-0.42
1783968340,799.36,-0.42
1783968356,799.37,-0.42
1783968371,799.37,-0.42
1783968387,799.38,-0.42
1783968402,799.38,-0.42
1783968418,799.36,-0.42
1783968433,799.36,-0.42
1783968449,799.36,-0.42
1783968464,799.36,-0.42
1783968482,799.36,-0.42
1783968497,799.35,-0.42
1783968513,799.35,-0.42
1783968528,799.36,-0.42
1783968544,799.36,-0.42
1783968559,799.35,-0.42
1783968575,799.35,-0.42
1783968590,799.35,-0.42
1783968606,799.34,-0.42
1783968621,799.34,-0.42
1783968637,799.34,-0.42
1783968652,799.34,-0.42
